censored_proportion,events_proportion,ijk_std,ijk_std_rel_error(%),ijk_std_cv,jkab_std,jkab_std_rel_error(%),jkab_std_cv,True_Y,RF_Y_pred,rf_emp_std,ijk_biased_std,ijk_biased_std_rel_error(%),ijk_biased_std_cv,events_bin
0.1,0.09,0.0202,-7.7817,0.6633663366336634,0.0222,1.5142,0.6666666666666666,0.9639,0.9498,0.0219,0.026,18.6731,0.6692307692307692,EE1
0.1,0.18,0.0364,-1.8565,0.46703296703296704,0.0388,4.7125,0.47938144329896903,0.9143,0.8793,0.0371,0.0446,20.2826,0.4641255605381166,EE2
0.1,0.27,0.0511,0.3692,0.39138943248532293,0.0538,5.7662,0.4052044609665427,0.8588,0.8062,0.0509,0.0614,20.676,0.3794788273615635,EE3
0.1,0.36,0.0667,-1.8582,0.32833583208395806,0.0703,3.4124,0.33428165007112376,0.7877,0.716,0.0679,0.0793,16.6954,0.3114754098360656,EE4
0.3,0.07,0.0224,-9.978,0.8928571428571429,0.0263,5.7819,0.9011406844106463,0.9669,0.9543,0.0249,0.0277,11.4204,0.8736462093862816,EE1
0.3,0.14,0.0385,2.974,0.5532467532467532,0.0429,14.8184,0.5710955710955711,0.9259,0.8954,0.0374,0.0456,22.213,0.5504385964912281,EE2
0.3,0.21,0.0554,10.1619,0.43501805054151627,0.061,21.1644,0.4475409836065574,0.8741,0.8268,0.0503,0.0646,28.3371,0.4272445820433436,EE3
0.3,0.28,0.0717,6.307,0.38772663877266383,0.0793,17.4948,0.3909205548549811,0.8137,0.7489,0.0675,0.0827,22.5983,0.373639661426844,EE4
0.5,0.05,0.0239,-24.8818,1.1924686192468619,0.0311,,1.1511254019292605,0.9724,0.9635,0.0319,0.0283,,1.148409893992933,EE1
0.5,0.1,0.0423,5.7594,0.6595744680851064,0.0514,28.5376,0.6770428015564202,0.9371,0.9118,0.04,0.0484,21.1596,0.6570247933884298,EE2
0.5,0.15,0.0601,17.836,0.5108153078202995,0.0717,40.5704,0.5230125523012552,0.8944,0.8544,0.051,0.0678,32.9534,0.5058997050147492,EE3
0.5,0.2,0.0781,17.3616,0.42765685019206146,0.0941,41.4758,0.42720510095642933,0.8431,0.7875,0.0665,0.0874,31.4062,0.41876430205949655,EE4
0.7,0.03,0.0293,-11.1607,1.5631399317406143,0.0515,56.4662,1.5320388349514564,0.9781,0.9725,0.0329,0.0328,,1.518292682926829,EE1
0.7,0.06,0.0528,2.6747,1.0984848484848486,0.0849,65.0601,1.032979976442874,0.9516,0.9322,0.0514,0.0578,12.3494,1.0692041522491351,EE2
0.7,0.09,0.0721,24.3226,0.7461858529819695,0.1152,98.7031,0.7630208333333334,0.9199,0.8879,0.058,0.0782,34.8755,0.7352941176470588,EE3
0.7,0.12,0.0893,23.6175,0.6606942889137737,0.1462,102.4503,0.6497948016415869,0.8878,0.8467,0.0722,0.0964,33.4883,0.6493775933609959,EE4
